County,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Smokers,% Physically Inactive,Violent Crime Rate,Income Ratio,% Children in Single-Parent Households,% Unemployed,% Vaccinated,% Uninsured,% Children in Poverty,Life Expectancy,Median Household Income,State
"Irwin County, Georgia",25.547558428,5.1753785733,5.0505035246,24.685399546,31.2,258.30059732,5.0963290461,32.115009747,4.6875,41,14.866262746,29.2,73.43718528,42317,Georgia
"Jackson County, Georgia",17.314298536,4.0444504143,4.6879420089,19.625012774,31.9,222.39244854,4.1471323452,18.659010498,2.6507475765,52,15.464432638,12.3,77.314428608,66645,Georgia
"Jasper County, Georgia",23.881017311,5.0195341889,5.1581660868,24.44713619,27.9,411.58971433,4.129708845,28.324591176,3.0696065716,50,19.536510713,19.8,76.421863242,59207,Georgia
"Jeff Davis County, Georgia",26.041381022,5.261455532,5.1887969828,24.937921481,29.9,347.83772033,4.6520824032,40.249376559,4.6108081309,37,19.561007101,32.4,74.060988604,40603,Georgia
"Jefferson County, Georgia",27.035201826,5.2276810353,5.1602890071,23.994520841,29.8,508.22692332,5.6376657017,54.321322135,4.7474132684,26,18.219427437,35.6,72.804868911,35379,Georgia
"Jenkins County, Georgia",28.13417819,5.3886386257,5.0234846308,25.445054777,22.3,321.4327542718077,4.8055231427,49.745934959,5.0906776965,28,17.48496994,37.0,74.684862898,32808,Georgia
"Johnson County, Georgia",25.391411257,5.0803426855,4.9782065383,24.94028046,38.4,373.6521832,5.7479540609,35.2180937,3.6422200198,41,15.852885225,31.6,75.413986242,37771,Georgia
"Jones County, Georgia",20.001971719,4.4255346031,4.7082504367,20.352924955,30.1,98.922451864,4.3073517924,33.916031675,3.1688084112,50,14.023843097,17.0,78.33093768,56819,Georgia
"Lamar County, Georgia",21.393558047,4.4995687618,4.7744011798,21.892154761,29.3,495.52339659,5.5509764139,31.347150259,3.8629737609,47,15.169235003,21.4,74.710125004,57402,Georgia
"Lanier County, Georgia",22.959395001,4.6679301816,4.8384164978,22.733664775,38.9,383.38045718,7.182614671,28.314864348,3.9220917823,32,15.650145773,28.6,75.758657741,42667,Georgia
"Laurens County, Georgia",24.525154601,4.954550097,5.1037090413,24.032168203,37.3,358.92015678,5.8316990055,42.75102459,4.5606519695,44,15.786559806,31.4,74.111769032,42018,Georgia
"Lee County, Georgia",17.067101898,3.8179910182,4.2694726523,17.75996039,22.0,174.70099253,3.4767878427,20.496417605,3.0508935245,44,11.729103208,13.5,75.970301437,72425,Georgia
